,vacancy_name,company_name,city,salary_min,salary_max,salary_currency,vacancy_link,site
208,Программист-разработчик чат-ботов на Python,BOTTEC,Брянск,По договорённости,По договорённости,-,https://hh.ru/vacancy/46278494,www.hh.ru
209,Python Developer,KPMG,Ростов-на-Дону,,,,https://hh.ru/vacancy/46303710,www.hh.ru
210,"Fullstack-разработчик (Python, JS)",Stroyportal.ru - интернет-площадка,Волгоград,100 000,,['руб.'],https://hh.ru/vacancy/46306230,www.hh.ru
211,Python разработчик (удаленно),ООО АйТиКвик,Краснодар,,300 000,['руб.'],https://hh.ru/vacancy/46275837,www.hh.ru
212,Ведущий разработчик Python (Ума.Тех),ООО UMA.Tech,Москва,,,,https://hh.ru/vacancy/45639882,www.hh.ru
213,Senior Python Developer (ML/Модерация),Циан,Москва,,,,https://hh.ru/vacancy/38936126,www.hh.ru
214,Data Engineer (Python),ООО АРЕС,Санкт-Петербург,,280 000,['руб.'],https://hh.ru/vacancy/46246517,www.hh.ru
215,Python Middle Developer,Itransition,Новосибирск,,,,https://hh.ru/vacancy/42512315,www.hh.ru
216,Senior Python Developer for Imunify,Cloud Linux,Минск,,,,https://hh.ru/vacancy/44259173,www.hh.ru
217,Python developer,ООО Accenture,Санкт-Петербург,,,,https://hh.ru/vacancy/46271442,www.hh.ru
218,Senior Machine Learning Developer (Java/Python),Joom,Москва,300 000,,['руб.'],https://hh.ru/vacancy/43770378,www.hh.ru
219,Python developer (Middle),"СимбирСофт,ООО",Киров (Кировская область),,,,https://hh.ru/vacancy/46400196,www.hh.ru
220,Lead python engineer,Emphasoft,Санкт-Петербург,,,,https://hh.ru/vacancy/44238111,www.hh.ru
221,Python Auto Tester (Remote),Auriga,Москва,,,,https://hh.ru/vacancy/45799240,www.hh.ru
222,Python developer,GamesBoost42,Москва,1 800,,['EUR'],https://hh.ru/vacancy/46550983,www.hh.ru
223,Senior python developer / Teamlead (Odoo),ООО АЙКРАФТ,Москва,250 000,,['руб.'],https://hh.ru/vacancy/44394420,www.hh.ru
224,Python Developer (SPB/Remote),Grid Dynamics,Санкт-Петербург,,,,https://hh.ru/vacancy/43536761,www.hh.ru
225,Backend developer (Python),The Head,Пермь,По договорённости,По договорённости,-,https://hh.ru/vacancy/43674112,www.hh.ru
226,"Инженер по тестированию Python, Логистика",Ozon Информационные технологии,Санкт-Петербург,,,,https://hh.ru/vacancy/45855310,www.hh.ru
227,Python-разработчик,Cornerstone Russia,Москва,,,,https://hh.ru/vacancy/45861184,www.hh.ru
228,Backend developer (Python),The Head,Краснодар,По договорённости,По договорённости,-,https://hh.ru/vacancy/43674070,www.hh.ru
229,Python Developer,АО АСТ,Москва,,,,https://hh.ru/vacancy/46023825,www.hh.ru
230,Специалист по парсингу python junior/middle,ООО Liu mobile,Санкт-Петербург,60 000,,['руб.'],https://hh.ru/vacancy/46547072,www.hh.ru
231,Backend developer (Python),The Head,Санкт-Петербург,По договорённости,По договорённости,-,https://hh.ru/vacancy/43674084,www.hh.ru
232,"Младший операционный менеджер (со знанием Sql, Python)",Яндекс,Казань,По договорённости,По договорённости,-,https://hh.ru/vacancy/46446517,www.hh.ru
233,"Team Lead в Tripster (Python, Django, Celery, Redis, Elasticsearch)",Tripster,Москва,,,,https://hh.ru/vacancy/46551512,www.hh.ru
234,Ведущий Python разработчик,АО АСТ,Москва,,250 000,['руб.'],https://hh.ru/vacancy/46246724,www.hh.ru
235,Python разработчик (Middle/Senior),Лига Цифровой Экономики,Москва,,,,https://hh.ru/vacancy/46543201,www.hh.ru
236,Backend developer (Python),The Head,Москва,По договорённости,По договорённости,-,https://hh.ru/vacancy/43674097,www.hh.ru
237,"Младший операционный менеджер (со знанием Sql, Python)",Яндекс,Краснодар,По договорённости,По договорённости,-,https://hh.ru/vacancy/46445462,www.hh.ru
238,Инженер-программист Python (Воронеж),ООО Специальный Технологический Центр,Воронеж,,,,https://hh.ru/vacancy/43723134,www.hh.ru
239,Инженер-программист Python,ПАО Магнитогорский металлургический комбинат,Казань,,,,https://hh.ru/vacancy/45398263,www.hh.ru
240,Middle / Senior Python Engineer (NLP),Метинвест Диджитал,Харьков,,,,https://hh.ru/vacancy/46057537,www.hh.ru
241,Fullstack-разработчик (Python/JavaScript),"МАГНИТ, Розничная сеть",Санкт-Петербург,,,,https://hh.ru/vacancy/46608914,www.hh.ru
242,Senior Python Developer,QIWI,Москва,,,,https://hh.ru/vacancy/46625284,www.hh.ru
243,Middle Python Developer for CloudLinux OS,Cloud Linux,Донецк (Украина),,,,https://hh.ru/vacancy/46052495,www.hh.ru
244,Team Lead Python Engineer,ScrumLaunch,Киев,По договорённости,По договорённости,-,https://hh.ru/vacancy/46674353,www.hh.ru
245,Backend Senior разработчик Python / ведущий разработчик,AstraLab,Воронеж,По договорённости,По договорённости,-,https://hh.ru/vacancy/46124734,www.hh.ru
246,Team Lead Python,"Лента, федеральная розничная сеть, Офис",Санкт-Петербург,,,,https://hh.ru/vacancy/46281605,www.hh.ru
247,Backend-разработчик Middle+/Senior (Python),InvestFuture,Санкт-Петербург,По договорённости,По договорённости,-,https://hh.ru/vacancy/46328969,www.hh.ru
248,Middle Python Developer,QIWI,Москва,,,,https://hh.ru/vacancy/46661910,www.hh.ru
249,Middle/Senior Python Developer for AlmaLinux [Remote],Cloud Linux,Санкт-Петербург,,,,https://hh.ru/vacancy/46343764,www.hh.ru
250,Python Developer (Partners),"Emerging Travel Group (Ostrovok.ru, B2B.Ostrovok, RateHawk, ZenHotels)",Москва,,,,https://hh.ru/vacancy/46631801,www.hh.ru
251,ETL Developer AirFlow + Python,DBI,Ростов-на-Дону,,,,https://hh.ru/vacancy/45121184,www.hh.ru
252,Middle/Senior Разработчик Python,ООО НТ Прогресс,Москва,,,,https://hh.ru/vacancy/35871016,www.hh.ru
253,"QA-инженер (automation, python) в команду Online",2ГИС,Новосибирск,,,,https://hh.ru/vacancy/45245929,www.hh.ru
254,Middle Python developer (релокация в Сочи),"ООО Привет, Интернет",Санкт-Петербург,150 000,,['руб.'],https://hh.ru/vacancy/45555166,www.hh.ru
255,Senior Software Engineer (Python),SIT Alemira,Москва,По договорённости,По договорённости,-,https://hh.ru/vacancy/45217475,www.hh.ru
256,Middle веб-программист (Full-Stack) - Python/JS,Флексайтс,Челябинск,По договорённости,По договорённости,-,https://hh.ru/vacancy/46370660,www.hh.ru
257,QA Automation (Python),ООО Аренадата Софтвер,Москва,,,,https://hh.ru/vacancy/45905528,www.hh.ru
258,PHP/Python developer,Plesk,Новосибирск,150 000,,['руб.'],https://hh.ru/vacancy/41767380,www.hh.ru
259,Python Developer (удаленно),Hunt For You,Москва,,,,https://hh.ru/vacancy/45707555,www.hh.ru
260,"Программист, python middle",Rockylabs,Уфа,По договорённости,По договорённости,-,https://hh.ru/vacancy/46166483,www.hh.ru
261,Junior Data Engineer (Python),DataFork,Москва,По договорённости,По договорённости,-,https://hh.ru/vacancy/46176349,www.hh.ru
262,Python Team Lead,WILDBERRIES,Москва,,,,https://hh.ru/vacancy/45843752,www.hh.ru
263,Python разработчик,БАРС Груп,Мурманск,По договорённости,По договорённости,-,https://hh.ru/vacancy/46066393,www.hh.ru
264,Python developer with Big Data (office/remote),"EPAM Systems, Inc.",Санкт-Петербург,,,,https://hh.ru/vacancy/46054992,www.hh.ru
265,Программист Python,Всё здорово,Санкт-Петербург,По договорённости,По договорённости,-,https://hh.ru/vacancy/46078545,www.hh.ru
266,Python Developer,СБЕР (ООО еАптека),Москва,,,,https://hh.ru/vacancy/43423259,www.hh.ru
267,Разработчик в тестировании/SDET (Python),"СимбирСофт,ООО",Ульяновск,,,,https://hh.ru/vacancy/46237927,www.hh.ru
268,Backend-разработчик Python,Neuro.net,Нижний Новгород,120 000,,['руб.'],https://hh.ru/vacancy/45068132,www.hh.ru
269,Python Django разработчик,ООО Юником,Москва,,,,https://hh.ru/vacancy/41452084,www.hh.ru
270,Python разработчик,БАРС Груп,Ханты-Мансийск,По договорённости,По договорённости,-,https://hh.ru/vacancy/46066394,www.hh.ru
271,Python разработчик (удаленно),ООО Строительный Двор,Москва,По договорённости,По договорённости,-,https://hh.ru/vacancy/40278614,www.hh.ru
272,Python developer,Sofoil LLC,Казань,,,,https://hh.ru/vacancy/46078440,www.hh.ru
273,Python Developer,IT школа Hello world,Санкт-Петербург,,,,https://hh.ru/vacancy/45682541,www.hh.ru
274,Python разработчик Middle/Senior,ODDSCORP,Москва,По договорённости,По договорённости,-,https://hh.ru/vacancy/46030225,www.hh.ru
275,Инженер по автоматизации тестирования Python (PT XDR),Positive Technologies,Москва,,,,https://hh.ru/vacancy/46084886,www.hh.ru
276,Python Backend Developer (Middle/Remote),JetLend,Санкт-Петербург,По договорённости,По договорённости,-,https://hh.ru/vacancy/46230357,www.hh.ru
277,Python Trainee,DataArt,Херсон,,,,https://hh.ru/vacancy/46085335,www.hh.ru
278,Senior Python backend developer,Приложение «Кошелёк»,Нижний Новгород,,,,https://hh.ru/vacancy/46273507,www.hh.ru
279,Разработчик Python,ООО Электронная медицина,Ростов-на-Дону,По договорённости,По договорённости,-,https://hh.ru/vacancy/40376578,www.hh.ru
280,Python Developer,Сбер для экспертов,Москва,,,,https://hh.ru/vacancy/46453455,www.hh.ru
281,Программист Python / C++,LG Electronics Inc.,Санкт-Петербург,,,,https://hh.ru/vacancy/43821750,www.hh.ru
282,Преподаватель по Python в школу программирования для детей «Алгоритмика»,Алгоритмика::Программирование::Грозный (ИП Хачукаев Муса Магомедович),Грозный,,,,https://hh.ru/vacancy/46461017,www.hh.ru
283,QA Automation (Python),OCS Distribution,Санкт-Петербург,,,,https://hh.ru/vacancy/46452488,www.hh.ru
284,Разработчик Python в команду автоматизации сетевых сервисов,Selectel,Санкт-Петербург,,,,https://hh.ru/vacancy/42350447,www.hh.ru
285,Python разработчик (удаленно),ООО Диджитал медикэл оперейшнс,Москва,,120 000,['руб.'],https://hh.ru/vacancy/46449633,www.hh.ru
286,"Full-stack Разработчик React, Python",MINT NFT,Якутск,По договорённости,По договорённости,-,https://hh.ru/vacancy/46462771,www.hh.ru
287,Middle++/Senior Python developer,БЕТА,Санкт-Петербург,160 000,,['руб.'],https://hh.ru/vacancy/46455110,www.hh.ru
288,Разработчик Python в команду сетевых функций облака,Selectel,Санкт-Петербург,,,,https://hh.ru/vacancy/39599336,www.hh.ru
289,Python Middle Developer,Itransition,Минск,,,,https://hh.ru/vacancy/46439767,www.hh.ru
290,Разработчик Python в команду DNS,Selectel,Санкт-Петербург,150 000,,['руб.'],https://hh.ru/vacancy/42277767,www.hh.ru
291,Python Senior,СБЕРКОРУС,Москва,,,,https://hh.ru/vacancy/45613917,www.hh.ru
292,QA Automation Engineer (Python),WakeApp,Москва,,,,https://hh.ru/vacancy/46452353,www.hh.ru
293,Python/Go developer,Lamoda,Москва,,,,https://hh.ru/vacancy/46445708,www.hh.ru
294,"Аналитик/Analyst (Python, A/B платформа)",СберМаркет,Москва,,,,https://hh.ru/vacancy/46195356,www.hh.ru
295,Разработчик на Python в Лавку,Яндекс,Москва,,,,https://hh.ru/vacancy/46440166,www.hh.ru
296,"Mobile-Разработчик Flutter, Python",MINT NFT,Красноярск,По договорённости,По договорённости,-,https://hh.ru/vacancy/46458369,www.hh.ru
297,Разработчик Golang / Python ( Middle ),ПАО БыстроБанк,Ижевск,70 000,,['руб.'],https://hh.ru/vacancy/43775356,www.hh.ru
298,Senior BigData Developer with Python / Spark / AWS,Grid Dynamics,Санкт-Петербург,,,,https://hh.ru/vacancy/46440919,www.hh.ru
299,"Full-stack Разработчик React, Python",MINT NFT,Санкт-Петербург,По договорённости,По договорённости,-,https://hh.ru/vacancy/46458120,www.hh.ru
300,Разработчик Python (Uma.Tech),ООО Premier,Москва,,,,https://hh.ru/vacancy/45319598,www.hh.ru
301,Python Developer / Python разработчик,ИП Хватов Д.А.,Санкт-Петербург,,,,https://hh.ru/vacancy/45910979,www.hh.ru
302,Программист Python,"ОТП Банк, АО (OTP bank)",Москва,,,,https://hh.ru/vacancy/45395451,www.hh.ru
303,Python-разработчик,Сбер для экспертов,Иннополис,,,,https://hh.ru/vacancy/46139990,www.hh.ru
304,Python Developer with AWS Expertise (Remote),UpTeam,Санкт-Петербург,,,,https://hh.ru/vacancy/46042060,www.hh.ru
305,Senior Backend Software Engineer /Python/,InData Labs / ИнДата Лабс,Минск,,,,https://hh.ru/vacancy/46302040,www.hh.ru
306,Python-разработчик во Flow,Яндекс,Санкт-Петербург,,,,https://hh.ru/vacancy/45987512,www.hh.ru
307,"Full-stack developer (Python, SQL, JAVA, Linux)",Nokia Networks,Ростов-на-Дону,,,,https://hh.ru/vacancy/46300703,www.hh.ru
308,Backend Python Developer,Selecty,Москва,,,,https://hh.ru/vacancy/45939536,www.hh.ru
309,Разработчик на С++/Python в Яндекс.Маршрутизацию,Яндекс,Москва,,,,https://hh.ru/vacancy/45907156,www.hh.ru
310,Backend Developer Middle (Python),Krew Guru,Москва,По договорённости,По договорённости,-,https://hh.ru/vacancy/46100698,www.hh.ru
311,Python разработчик,MST,Краснодар,,,,https://hh.ru/vacancy/46085690,www.hh.ru
312,Backend разработчик python,КОМПЛИТ,Санкт-Петербург,,,,https://hh.ru/vacancy/40538840,www.hh.ru
313,Middle/Senior Backend developer Python,ООО Napoleon IT,Казань,,,,https://hh.ru/vacancy/43744286,www.hh.ru
314,Python Middle Developer,Itransition,Красноярск,,,,https://hh.ru/vacancy/44401077,www.hh.ru
315,Программист Python,ИП Понятов А. А.,Брест,1 000,,['бел.руб.'],https://hh.ru/vacancy/45951277,www.hh.ru
316,Senior python developer,ООО Ак Барс Цифровые Технологии,Казань,,,,https://hh.ru/vacancy/45644758,www.hh.ru
317,Разработчик-алгоритмист С++/Python,ООО Эвокарго,Москва,,,,https://hh.ru/vacancy/45907698,www.hh.ru
318,Back-End разработчик - Python,HUAWEI,Москва,,,,https://hh.ru/vacancy/45598333,www.hh.ru
319,Python developer with AWS expertise,Deutsche Telekom IT Solutions (ex.T-Systems),Санкт-Петербург,,,,https://hh.ru/vacancy/44778866,www.hh.ru
320,Middle Python Developer (Online Retailer),DataArt,Харьков,,,,https://hh.ru/vacancy/46539491,www.hh.ru
321,Middle Python Developer (Online Retailer),DataArt,Харьков,,,,https://hh.ru/vacancy/46539688,www.hh.ru
322,Python test automation engineer (Cloud Systems),Центр разработки Orion Innovation (ранее MERA),Нижний Новгород,,,,https://hh.ru/vacancy/46668764,www.hh.ru
323,Middle QA Automation (Python) Engineer (Crypto Security Solution),DataArt,Харьков,,,,https://hh.ru/vacancy/46539617,www.hh.ru
324,Инженер-разработчик (программист Python),ООО Парус электро,Москва,,,,https://hh.ru/vacancy/46447886,www.hh.ru
325,"Full-stack Developer (React, Python)",MINT NFT,Москва,По договорённости,По договорённости,-,https://hh.ru/vacancy/46604456,www.hh.ru
326,Fullstack-разработчик (Python/JavaScript),"МАГНИТ, Розничная сеть",Воронеж,,,,https://hh.ru/vacancy/46608915,www.hh.ru
327,Fullstack-разработчик (Python/JavaScript),"МАГНИТ, Розничная сеть",Санкт-Петербург,,,,https://hh.ru/vacancy/46608914,www.hh.ru
328,Fullstack-разработчик (Python/JavaScript),"МАГНИТ, Розничная сеть",Казань,,,,https://hh.ru/vacancy/46608917,www.hh.ru
329,"Web-разработчик (React, Python)",BeeJee,Санкт-Петербург,По договорённости,По договорённости,-,https://hh.ru/vacancy/45795577,www.hh.ru
330,Senior Python Developer (Media Distribution Platform),DataArt,Киев,,,,https://hh.ru/vacancy/46519153,www.hh.ru
331,Lead Full Stack (Python + React) Engineer (Online Education Solutions),DataArt,Одесса,,,,https://hh.ru/vacancy/46539874,www.hh.ru
332,Архитектор программного продукта Python/Django (Ведущий разработчик),ООО DATUM Group,Ростов-на-Дону,,,,https://hh.ru/vacancy/46124305,www.hh.ru
333,"Программист разработчик (Python, Java, Javascript, PHP) Junior web developer",Pro-подбор,Москва,По договорённости,По договорённости,-,https://hh.ru/vacancy/46574931,www.hh.ru
334,Fullstack-разработчик (Python/JavaScript),"МАГНИТ, Розничная сеть",Нижний Новгород,,,,https://hh.ru/vacancy/46608918,www.hh.ru
335,Fullstack-разработчик (Python/JavaScript),"МАГНИТ, Розничная сеть",Самара,,,,https://hh.ru/vacancy/46608916,www.hh.ru
336,Middle веб-программист (Full-Stack) - Python/JS,Флексайтс,Челябинск,По договорённости,По договорённости,-,https://hh.ru/vacancy/46370660,www.hh.ru
337,Middle/Senior Auto Test Engineer QA Python,CQG,Самара,,,,https://hh.ru/vacancy/45940107,www.hh.ru
338,Middle / Senior Automation QA engineer (Python),Dish Ukraine,Харьков,,,,https://hh.ru/vacancy/45830450,www.hh.ru
339,Преподаватель курса Python для детей (удалённо),Школа программирования Kodland,Москва,,50 000,['руб.'],https://hh.ru/vacancy/41907141,www.hh.ru
340,Преподаватель программирования (Python),Movavi,Новосибирск,,,,https://hh.ru/vacancy/44546605,www.hh.ru
341,Ведущий инженер по автоматизированному тестированию (Senior QA automation Python),ICL Services,Казань,,,,https://hh.ru/vacancy/44392004,www.hh.ru
342,Тестировщик-автоматизатор (Python),HintHero,Москва,,,,https://hh.ru/vacancy/46509052,www.hh.ru
343,Full-Stack Developer (Python & Vue.js),Brane,Санкт-Петербург,,,,https://hh.ru/vacancy/46208933,www.hh.ru
344,Разработчик 1С со знанием Python,Fastzila,Москва,,,,https://hh.ru/vacancy/46515079,www.hh.ru
345,"Middle Web Developer (Python, Javascript) remote","МАГНИТ, Розничная сеть",Москва,,,,https://hh.ru/vacancy/45878663,www.hh.ru
346,"Инженер по автоматизации тестирования Python, Логистика / Центральные логистические системы",Ozon Информационные технологии,Москва,,,,https://hh.ru/vacancy/46510870,www.hh.ru
347,Преподаватель по программированию Python / графический дизайн / видеоблоггинг / геймдизайн,Алгоритмика::Пятигорск (ИП Залесская Оксана Васильевна),Пятигорск,По договорённости,По договорённости,-,https://hh.ru/vacancy/46504797,www.hh.ru
348,Преподаватель Python в учебном центре,ООО Эдюкейшн груп,Северск (Томская область),По договорённости,По договорённости,-,https://hh.ru/vacancy/46181653,www.hh.ru
349,Преподаватель Python в учебном центре,ООО Эдюкейшн груп,Томск,По договорённости,По договорённости,-,https://hh.ru/vacancy/46181654,www.hh.ru
350,Инженер по автоматическому тестированию (Python).,Auriga,Ростов-на-Дону,,,,https://hh.ru/vacancy/46479337,www.hh.ru
351,Инженер по автоматическому тестированию (Python).,Auriga,Санкт-Петербург,,,,https://hh.ru/vacancy/46479339,www.hh.ru
352,QA automation Specialist (Python),ООО Опендэв,Саратов,,,,https://hh.ru/vacancy/44139002,www.hh.ru
353,Python Middle Developer,Itransition,Гомель,,,,https://hh.ru/vacancy/46468323,www.hh.ru
354,TeamLead Python разработки / руководитель группы разработчиков (Python),X5 RETAIL GROUP,Москва,,,,https://hh.ru/vacancy/46476951,www.hh.ru
355,Python Middle Developer,Itransition,Гродно,,,,https://hh.ru/vacancy/46468396,www.hh.ru
356,Python Middle Developer,Itransition,Витебск,,,,https://hh.ru/vacancy/46468367,www.hh.ru
357,QA specialist (Python),Город Иннополис,Тамбов,По договорённости,По договорённости,-,https://hh.ru/vacancy/46463626,www.hh.ru
358,"Инженер со знанием Python'а (3D, геометрия)",Align Technology,Москва,,,,https://hh.ru/vacancy/44827994,www.hh.ru
359,"Администратор (Linux, python)",Банк Русский Стандарт,Москва,100 000,,['руб.'],https://hh.ru/vacancy/45858316,www.hh.ru
360,Python Developer Middle / Senior (SberDevices/ Платформа Layer - монетизация видео-контента),Сбер. IT,Санкт-Петербург,По договорённости,По договорённости,-,https://hh.ru/vacancy/46066761,www.hh.ru
361,Преподаватель направления «Разработка программного обеспечения Python»,Санкт-Петербургский политехнический университет Петра Великого (ФГАОУ ВО СПбПУ),Санкт-Петербург,,,,https://hh.ru/vacancy/46085028,www.hh.ru
362,Senior Python developer (office/remote),"EPAM Systems, Inc.",Санкт-Петербург,,,,https://hh.ru/vacancy/46054966,www.hh.ru
363,Python разработчик,Andersen,Москва,,,,https://hh.ru/vacancy/46040913,www.hh.ru
364,Python Developer with AWS Expertise (Remote),UpTeam,Санкт-Петербург,,,,https://hh.ru/vacancy/46042060,www.hh.ru
365,Разработчик Android/Python,"Агрокультура, управляющая компания",Рязань,,,,https://hh.ru/vacancy/44666341,www.hh.ru
366,Python Developer Middle / Senior (SberDevices/ Платформа Layer - монетизация видео-контента),Сбер. IT,Москва,По договорённости,По договорённости,-,https://hh.ru/vacancy/46066760,www.hh.ru
367,Python Разработчик / Team Lead,Медиалогия,Москва,120 000,,['руб.'],https://hh.ru/vacancy/44714979,www.hh.ru
368,Тестировщик / Ведущий тестировщик (Python),Polymedia,Москва,,,,https://hh.ru/vacancy/44726091,www.hh.ru
369,Python разработчик Middle/Senior,ODDSCORP,Москва,По договорённости,По договорённости,-,https://hh.ru/vacancy/46030225,www.hh.ru
370,TeamLead Python-разработчик (УЦТР),Сбер. IT,Москва,,,,https://hh.ru/vacancy/45385037,www.hh.ru
371,Backend-разработчик (PHP/Python/Golang),Siberian Wellness,Новосибирск,По договорённости,По договорённости,-,https://hh.ru/vacancy/45407346,www.hh.ru
372,Python разработчик (django),ООО РАБЛЗ,Москва,,350 000,['руб.'],https://hh.ru/vacancy/43889597,www.hh.ru
373,"Coding (Python, Scratch, Web design) Tutor/Teacher for children at Kodland",Школа программирования Kodland,Санкт-Петербург,,,,https://hh.ru/vacancy/46060479,www.hh.ru
374,Python разработчик (удаленно),ООО АйТиКвик,Санкт-Петербург,,300 000,['руб.'],https://hh.ru/vacancy/46014239,www.hh.ru
375,Middle+/Senior Python разработчик (удаленно),Cellar door,Санкт-Петербург,,300 000,['руб.'],https://hh.ru/vacancy/39339342,www.hh.ru
376,Ведущий Python разработчик,ODDSCORP,Москва,По договорённости,По договорённости,-,https://hh.ru/vacancy/46030221,www.hh.ru
377,"Coding (Python, Scratch, Web design) Tutor/Teacher for children at Kodland",Школа программирования Kodland,Казань,,,,https://hh.ru/vacancy/46060481,www.hh.ru
378,"Coding (Python, Scratch, Web design) Tutor/Teacher for children at Kodland",Школа программирования Kodland,Екатеринбург,,,,https://hh.ru/vacancy/46060480,www.hh.ru
379,Senior Python Developer (reporting/analytics engine),Netcracker Technology Corp.,Самара,,,,https://hh.ru/vacancy/46012452,www.hh.ru
380,"Coding (Python, Scratch, Web design) Tutor/Teacher for children at Kodland",Школа программирования Kodland,Санкт-Петербург,,,,https://hh.ru/vacancy/46060479,www.hh.ru
381,Teamlead of python developers (telecom) / Руководитель группы разработки,Neuro.net,Нижний Новгород,,,,https://hh.ru/vacancy/46038560,www.hh.ru
382,"Coding (Python, Scratch, Web design) Tutor/Teacher for children at Kodland",Школа программирования Kodland,Казань,,,,https://hh.ru/vacancy/46060481,www.hh.ru
383,"Coding (Python, Scratch, Web design) Tutor/Teacher for children at Kodland",Школа программирования Kodland,Екатеринбург,,,,https://hh.ru/vacancy/46060480,www.hh.ru
384,QA Automation Engineer (Python),Grid Dynamics,Санкт-Петербург,,,,https://hh.ru/vacancy/46002351,www.hh.ru
385,Разработчик Python (Senior Developer/middle),ООО РСХБ-Интех,Москва,,,,https://hh.ru/vacancy/44791149,www.hh.ru
386,"Инженер по автоматизации тестирования Python, Логистика / TMS",Ozon Информационные технологии,Москва,,,,https://hh.ru/vacancy/42878583,www.hh.ru
387,Web-разработчик / Backend программист Python,ORBIS,Калуга,По договорённости,По договорённости,-,https://hh.ru/vacancy/45973716,www.hh.ru
388,"Специалист по моделированию (Excel, Python, VBA)","СУЭК, Сибирская Угольная Энергетическая Компания",Москва,,,,https://hh.ru/vacancy/46025463,www.hh.ru
389,Automation QA Engineer (Python),Andersen,Одесса,,,,https://hh.ru/vacancy/45992413,www.hh.ru
390,Разработчик Python (мониторинг инфраструктуры),Сбер. IT,Москва,,,,https://hh.ru/vacancy/45277764,www.hh.ru
391,Automation QA Engineer (Python),Andersen,Харьков,,,,https://hh.ru/vacancy/45992414,www.hh.ru
392,"Инженер по автоматизации тестирования Python, Логистическая платформа/Доставка",Ozon Информационные технологии,Санкт-Петербург,,,,https://hh.ru/vacancy/44288442,www.hh.ru
393,QA Automation Engineer / Автотестировщик (Python),ПАО «КАМАЗ»,Санкт-Петербург,,,,https://hh.ru/vacancy/43571843,www.hh.ru
394,"Python-разработчик (pre-middle, middle)",ПАО Татнефть,Альметьевск,,125 000,['руб.'],https://hh.ru/vacancy/41096302,www.hh.ru
395,Python Course Online Tutor/Teacher at Kodland,Школа программирования Kodland,Москва,,80 000,['руб.'],https://hh.ru/vacancy/43773571,www.hh.ru
396,"Инженер по автоматизации тестирования Python, Клиентские сервисы / Сопровождение торговой площадки",Ozon Информационные технологии,Москва,,,,https://hh.ru/vacancy/39872167,www.hh.ru
397,Senior Python Backend Developer / WEB - разработчик,ООО Перфект Системс,Ташкент,2 400,,['USD'],https://hh.ru/vacancy/46126509,www.hh.ru
398,Python Backend Developer / WEB - разработчик,ООО Перфект Системс,Ташкент,2 400,,['USD'],https://hh.ru/vacancy/46126291,www.hh.ru
399,Middle/Senior/Lead Python Software Engineer,Godel Technologies Europe,Минск,,,,https://hh.ru/vacancy/42140942,www.hh.ru
